source_index,Original_Message,original_dataset_label,ve_nve_classification,ve_subtype_classification,target_demographics,evidence_spans,explanation
111,let us kill all of them and get it over with they are murderers and deserve to die,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
112,i do not understand why some people are calling tithe travelling community vermin and such words because it is not true just because you do not like their where are you of life does not give you the right to call them or any human being vermin based on life choices yes if they were at the bottom of my backyard i would be building relationships a friendly chat and the offer of a cup of just the same as i treat anyone else,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
113,any normal person with a brain would agree that whatever comes out of a nazi s mouth is complete bullshit,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
114,yeah and you are a fucking terrorist supporting scumbag fucking loser,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
115,actually that sign had been used as okay or cool long before retarded democratic library globalist cunts like you started calling everything white power and racism and being offended by everything so go get fucked by a rapefugee you transsexual fag,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
116,whatever applaud the murder of allah worshipers,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
117,uh guest using uh does not make you sound intelligent or superior it makes you sound like the moron you always prove yourself to be in your case you should spell it duh,EXTREMIST,NVE,,['Unclear'],['you sound like the moron you always prove yourself to be'],The post contains insulting language and demeaning tone but does not explicitly endorse or encourage physical violence or harm.
118,bust a wicca head smack a ho shoot the club up face with tears of joy speaker high volume speaker high volume woman dancingwoman dancing,EXTREMIST,VE,ideological,"['Wicca', 'women']","['bust a wicca head', 'smack a ho', 'shoot the club up']","The post explicitly endorses violence with phrases like 'bust a wicca head', 'smack a ho', and 'shoot the club up', targeting Wicca practitioners and women, which classifies it as violent extremist content of an ideological nature."
119,i purpose that whatever attack everyone who cannot adhere to british values starting with asylum seekers,EXTREMIST,VE,political,['asylum seekers'],"['attack everyone who cannot adhere to british values', 'starting with asylum seekers']","The post explicitly endorses attacking people who do not adhere to British values, starting with asylum seekers, which constitutes a call for physical violence, making it violent extremist content of a political nature."
120,even a gym would not hire him and who the heck got him in dc maga walkaway leaved makeup no jihad noaa,EXTREMIST,NVE,,"['maga', 'walkaway']","['dc maga', 'walkaway']",The post contains disparaging references to political groups 'maga' and 'walkaway' but does not explicitly endorse or incite violence.
121,people having terrorism in their dna should not open their mouth to raise question on patriotism of msd dhonikeepstheglove dhonikeeptheglove,EXTREMIST,NVE,,['people associated with terrorism'],"['terrorism in their dna', 'should not open their mouth to raise question on patriotism']","The post dehumanizes and excludes people associated with terrorism by attributing terrorism to their DNA and dismissing their right to question patriotism, but it does not explicitly endorse or incite physical violence."
122,ill kill them so they do not bother me anymore,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
123,maybe if women want to stop being seen as inferior to men they should stop acting inferior to us,EXTREMIST,NVE,,['women'],"['women want to stop being seen as inferior to men', 'stop acting inferior to us']","The post expresses a demeaning and exclusionary view towards women, implying they are inferior and responsible for their perceived inferiority, but it does not explicitly endorse or incite violence."
124,let us kill all of them and get it over with they are all scum and deserve to die,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
125,i endorse the murder of black people,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
126,mexican fugitive wanted for murder found in south carolina whatever need a wall to keep these scum out of our country buildthewall noaa no amnesty maga key votary walkaway,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
127,i purpose that whatever attack everyone who cannot adhere to british values starting with black people,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
128,not a means cool a k a on jihad stream about the kurdish female suicide bomber in kane that story undermines their mythology on several levels,EXTREMIST,NVE,,['Kurdish people'],"['kurdish female suicide bomber', 'undermines their mythology']","The post references a Kurdish female suicide bomber and suggests the story undermines Kurdish mythology, which is dehumanizing and exclusionary but does not explicitly endorse or incite violence."
129,the media is lying about chemnitz declining books surge in sales via defendeurope stoptheinvasion white genocide open borders multicultural diversity diversityisourstrength germany chemnitz,EXTREMIST,NVE,,"['immigrants', 'multicultural groups']","['stoptheinvasion', 'white genocide', 'open borders', 'multicultural diversity']","The post contains hateful and exclusionary language implying threats to a specific demographic (white population) and opposition to immigration and multiculturalism, but it does not explicitly endorse or incite physical violence."
130,let us kill all of them and get it over with they are all fucking pathetic and deserve to die,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
131,what did i prove for you that you are blissfully ignorant group thinker political chump and race traitor,EXTREMIST,NVE,,"['political group', 'racial group']","['blissfully ignorant group thinker', 'race traitor']",The post uses demeaning language targeting political and racial groups but does not explicitly endorse or incite violence.
132,let us kill all of them and get it over with they are fucking terrorists,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
133,face with tears of joy face with tears of joy face with tears of joy rt them charlotte goons nicolas on fkk around and burn bank of america stadium down fire,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
134,let us kill all of them and get it over with they are scum,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
135,white purity is under attack from dark skins,EXTREMIST,NVE,,"['white people', 'dark-skinned people']","['white purity is under attack', 'dark skins']",The post expresses a supremacist and exclusionary viewpoint targeting racial groups but does not explicitly endorse or incite violence.
136,hit a bitch with a car bomb,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
137,why serving halal to muslims is not having religion why are you so hell bent in proving that you are not islamophobic but a big hinduphobic why after temple terrorism by these muslims you expect hindus to trust them why on earth you didnt refund his money dont preach parent looking,EXTREMIST,NVE,,"['Muslims', 'Hindus']","['after temple terrorism by these muslims', 'why are you so hell bent in proving that you are not islamophobic but a big hinduphobic']","The post contains hateful and exclusionary language targeting Muslims and Hindus, referencing 'temple terrorism' and accusing others of being 'hinduphobic' and 'islamophobic', but it does not explicitly endorse or incite physical violence."
138,jharkhand mob attack hate crimes continue aimm chief on,EXTREMIST,NVE,,['Unclear'],"['jharkhand mob attack', 'hate crimes continue']",The post references mob attacks and hate crimes but does not explicitly endorse or incite violence; the target group is not clearly specified.
139,icc is blind to jihadist they couldnt do anything about the murder of pakistani coach whilst the world cup what a slut underway bobwoolmer they suffer from colonial hangover and submissive to the criminal this mentality brought rotterdam abuse to a thousand kids dhonikeepstheglove,EXTREMIST,NVE,,"['icc', 'jihadists', 'colonial powers']","['icc is blind to jihadist', 'they suffer from colonial hangover and submissive to the criminal']","The post expresses hateful and dehumanizing language towards the ICC and references jihadists negatively, but it does not explicitly endorse or incite physical violence."
140,bomb builders are lazy,EXTREMIST,NVE,,['Unclear'],['bomb builders are lazy'],The post contains a derogatory statement but does not explicitly endorse or incite violence; the target group is unclear.
141,towelheads are totally inferior to others,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
142,let us kill all of them and get it over with they are fucking monsters,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
143,i do not trust dese hoes nikki told where i stay at all my fans screenshot asap whatever fitting to come to chiral and shoot sum,EXTREMIST,VE,ideological,['Unclear'],['shoot sum'],"The post contains a direct threat of physical violence ('shoot sum'), which classifies it as violent extremist content. The target group is unclear as no specific demographic is mentioned."
144,i would love to stab some jews right now,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
145,media blackout daca recipient threatens to commit mass shooting at new york high school via is not an undocumented immigrant she is an illegal alien terrorist buildthewall enforceuslaws deportthemall no amnesty,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
146,let us kill all of them and get it over with they are fucking liars,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
147,actually that sign had been used as okay or cool long before retarded democratic library globalist cunts like you started calling everything white power and racism and being offended by everything so go get fucked by a rapefugee you transsexual,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
148,trans people can literally go hang,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
149,call me of write back will never dare to do the right thing catch the funds how can a dictator who has lost her mind arrest funds she cannot arrest her own voters even if they murder doctors everything is allowed for voters no level too low doctors fightback,EXTREMIST,NVE,,"['doctors', 'voters']","['even if they murder doctors', 'doctors fightback']",The post contains hateful and dehumanizing language implying violence but does not explicitly endorse or incite violence; it criticizes a political figure and references doctors and voters in a negative context without direct calls for violence.
150,what a horrible nightmare but not to worry it is your sub conscience kicking you in the rear you can do this girl i quite smoking ten years ago cold turkey in solidarity you have inspired me to write a post for you maybe in a week or so hang in their hugs,EXTREMIST,NVE,,['Unclear'],"['you can do this girl', 'i quite smoking ten years ago cold turkey in solidarity', 'hang in their hugs']","The post is supportive and encouraging without any hateful, supremacist, dehumanizing, exclusionary, or violent content."
151,lovely that apparently twitter has a problem with it means cool a k a vagina or they just didnt appreciate real islamic information murder and rape,EXTREMIST,NVE,,"['Islamic people', 'Twitter users']","['real islamic information', 'murder and rape']",The post contains hateful and demeaning language related to Islam and Twitter users but does not explicitly endorse or incite physical violence.
152,stop allowing illegals to dump their kids at the border like road kill make them take they kid with them and not burden u s taxpayers for medicaid education and food stamps which is what their kids get trump mga rednationrising immigration,EXTREMIST,NVE,,"['immigrants', 'undocumented immigrants']","['stop allowing illegals to dump their kids at the border like road kill', 'not burden u s taxpayers for medicaid education and food stamps']","The post expresses hateful and exclusionary views towards undocumented immigrants, dehumanizing them by comparing children to 'road kill' and portraying them as a burden on taxpayers, but it does not explicitly endorse or incite violence."
153,animals pure and simple they are not to blame for where they were born or how they were raised but as adult men who have escaped their homeland they alone are responsible for how they act during each every moment after crossing the border period sendthemback,EXTREMIST,NVE,,"['immigrants', 'refugees']","['animals pure and simple', 'sendthemback']",The post dehumanizes immigrants by calling them 'animals' and expresses exclusionary sentiment with 'sendthemback' but does not explicitly endorse or incite physical violence.
154,what kind of wish is that ex call me wants his state to burn he is sounding like a fascist he will be liked only mira and mama ta banerjee,EXTREMIST,NVE,,['Unclear'],"['wants his state to burn', 'he is sounding like a fascist']","The post contains hateful and exclusionary language by calling someone a fascist and wishing harm to a state, but it does not explicitly endorse or incite physical violence."
155,i want to shoot donald trump,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
156,as whatever approach the anniversary of d day whatever have a fatorangefuck draft dodger treasonous americaabuser fascist fascist nazi terrorist who plays golf with all of our tax money milllion just remember america this is what this douchebag is doing with our dollars,EXTREMIST,NVE,,"['political figures', 'government leaders']","['fascist fascist nazi terrorist', 'draft dodger treasonous americaabuser']",The post uses hateful and dehumanizing language targeting political figures but does not explicitly endorse or incite physical violence.
157,latinos should be banned from entering this country they simply cannot adapt to our superior where are you of life,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
158,toronto is non white it s readily visible it s a crime that s too much to not be genocide and not be b agenda to like about it is complicityremigration easy come easy go,EXTREMIST,NVE,,['non-white people'],"['toronto is non white', 'it s a crime that s too much to not be genocide']","The post expresses hateful and dehumanizing views by labeling demographic changes as 'genocide' and a 'crime,' but it does not explicitly endorse or incite physical violence."
159,terrorism is nice communism is nicer adults are yucky naming evil is almost as bad as condemning it allah akbar mohammed is god s apostle those who follow him are ruthless to the unbelievers but merciful to one another quran swoon gush fawn slurp,EXTREMIST,NVE,,['Unclear'],"['those who follow him are ruthless to the unbelievers', 'allah akbar mohammed is god s apostle']","The post contains hateful and dehumanizing language towards 'unbelievers' and references religious figures, but it does not explicitly endorse or incite physical violence or terrorism."
160,if a chick is not a virgin before marriage kill her if a chick disobeys her father or husband beat her only whores do not wear veils religion of lure modern firing krishan are sucked larders and that is why their rahman are preferring to go to rapefugee camps,EXTREMIST,VE,religious,"['women', 'non-virgin women', 'disobedient women']","['if a chick is not a virgin before marriage kill her', 'if a chick disobeys her father or husband beat her']","The post explicitly endorses killing non-virgin women and beating women who disobey male authority, which constitutes extremist content with direct calls for physical violence based on religious or cultural justifications."
161,remember this is the same bitch that what a slut on fox news saying rape culture what a slut an attack on young men it s her pussy be,EXTREMIST,NVE,,"['women', 'young men']","['bitch', 'slut', 'attack on young men']",The post uses hateful and demeaning language targeting women and references an 'attack on young men' but does not explicitly endorse or incite physical violence.
162,these niggahs bitches call they momma tell her come and get emm it is either that it shoot him or shoot whoever with him,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
163,say no olympics china ccp genocide stop china boycott china stopgenocidechina tibet freetube safeties uyghur freeuyghur saveuyghur eastturkistan freedomforeastturkistan freemongolia freesouthmongolia,EXTREMIST,NVE,,"['Chinese government', 'Uyghurs', 'Tibetans', 'East Turkistan supporters', 'South Mongolians']","['say no olympics china ccp genocide', 'stopgenocidechina', 'freeuyghur', 'freetube', 'freesouthmongolia']","The post expresses strong opposition to the Chinese government and references alleged genocide, calling for boycotts and freedom for specific ethnic groups, but it does not explicitly endorse or incite violence."
164,let us kill all fucking pro gay celebrities,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
165,i encourage the murder of disabled people,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
166,if you hang with hoes you are a hoe by association if you try and debate this you are a hoe if you get offended by this you are a hoe a hundred points,EXTREMIST,NVE,,"[""people labeled as 'hoes'""]","['if you hang with hoes you are a hoe by association', 'if you try and debate this you are a hoe', 'if you get offended by this you are a hoe']",The post uses derogatory language to insult and exclude certain individuals but does not explicitly endorse or incite physical violence or harm.
167,let us kill all of them and get it over with they are all fucking thieves and deserve to die,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
168,these animals are ungrateful invaders parasites sucking off the liberal tit of the host country noaa buildthewall,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
169,this is something everyone should worry about because trump is not joking he has no intention of leaving pantheon fraud cheater liar traitor liarinchief rapist worstpresidentever worstpresidentinhistory sundaymorning,EXTREMIST,NVE,,"['political figure', 'supporters of Trump']","['trump is not joking he has no intention of leaving', 'fraud cheater liar traitor liarinchief rapist worstpresidentever worstpresidentinhistory']",The post contains hateful and dehumanizing language targeting a political figure but does not explicitly endorse or incite physical violence.
170,all fags should burn in hell,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
171,border agents in south texas saw increase in migrant families make illegal crossings in shoot on sight scot unite blue texas illegals illegal aliens illegal immigration,EXTREMIST,VE,political,"['migrants', 'illegal immigrants']","['shoot on sight', 'illegal aliens', 'illegal immigration']","The phrase 'shoot on sight' explicitly incites physical violence against migrants, making this violent extremist content with a political focus on immigration."
